url,status,title,meta_description,readability_title,n_links,n_images,n_tables,n_jsonld,n_emails,n_phones,author,quote,tags
https://quotes.toscrape.com/,200,,,,,,,,,,"['Albert Einstein', 'J.K. Rowling', 'Albert Einstein', 'Jane Austen', 'Marilyn Monroe', 'Albert Einstein', 'André Gide', 'Thomas A. Edison', 'Eleanor Roosevelt', 'Steve Martin']","['“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”', '“It is our choices, Harry, that show what we truly are, far more than our abilities.”', '“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”', '“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”', ""“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"", '“Try not to become a man of success. Rather become a man of value.”', '“It is better to be hated for what you are than to be loved for what you are not.”', ""“I have not failed. I've just found 10,000 ways that won't work.”"", ""“A woman is like a tea bag; you never know how strong it is until it's in hot water.”"", '“A day without sunshine is like, you know, night.”']","['change', 'deep-thoughts', 'thinking', 'world', 'abilities', 'choices', 'inspirational', 'life', 'live', 'miracle', 'miracles', 'aliteracy', 'books', 'classic', 'humor', 'be-yourself', 'inspirational', 'adulthood', 'success', 'value', 'life', 'love', 'edison', 'failure', 'inspirational', 'paraphrased', 'misattributed-eleanor-roosevelt', 'humor', 'obvious', 'simile']"
https://quotes.toscrape.com/login,200,,,,,,,,,,,,
https://quotes.toscrape.com/tag/change/page/1/,200,,,,,,,,,,['Albert Einstein'],['“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”'],"['change', 'deep-thoughts', 'thinking', 'world']"
https://quotes.toscrape.com/tag/thinking/page/1/,200,,,,,,,,,,"['Albert Einstein', 'Terry Pratchett']","['“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”', '“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”']","['change', 'deep-thoughts', 'thinking', 'world', 'humor', 'open-mind', 'thinking']"
https://quotes.toscrape.com/author/Albert-Einstein,200,,,,,,,,,,,,
https://quotes.toscrape.com/tag/deep-thoughts/page/1/,200,,,,,,,,,,['Albert Einstein'],['“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”'],"['change', 'deep-thoughts', 'thinking', 'world']"
https://quotes.toscrape.com/tag/world/page/1/,200,,,,,,,,,,['Albert Einstein'],['“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”'],"['change', 'deep-thoughts', 'thinking', 'world']"
https://quotes.toscrape.com/tag/choices/page/1/,200,,,,,,,,,,['J.K. Rowling'],"['“It is our choices, Harry, that show what we truly are, far more than our abilities.”']","['abilities', 'choices']"
https://quotes.toscrape.com/tag/abilities/page/1/,200,,,,,,,,,,['J.K. Rowling'],"['“It is our choices, Harry, that show what we truly are, far more than our abilities.”']","['abilities', 'choices']"
https://quotes.toscrape.com/tag/inspirational/page/1/,200,,,,,,,,,,"['Albert Einstein', 'Marilyn Monroe', 'Thomas A. Edison', 'Marilyn Monroe', 'Elie Wiesel', 'J.K. Rowling', 'George Eliot', 'C.S. Lewis', 'Martin Luther King Jr.', 'Helen Keller']","['“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”', ""“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"", ""“I have not failed. I've just found 10,000 ways that won't work.”"", ""“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"", ""“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”"", '“To the well-organized mind, death is but the next great adventure.”', '“It is never too late to be what you might have been.”', '“You can never get a cup of tea large enough or a book long enough to suit me.”', '“Only in the darkness can you see the stars.”', '“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”']","['inspirational', 'life', 'live', 'miracle', 'miracles', 'be-yourself', 'inspirational', 'edison', 'failure', 'inspirational', 'paraphrased', 'friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters', 'activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy', 'death', 'inspirational', 'inspirational', 'books', 'inspirational', 'reading', 'tea', 'hope', 'inspirational', 'inspirational']"
